Title,Price,LastPrice,Link
Samsung Galaxy A14 4G (Exynos) Dual SIM 128 GB preto 4 GB RAM,899,1.010,https://www.mercadolivre.com.br/samsung-galaxy-a14-4g-exynos-dual-sim-128-gb-preto-4-gb-ram/p/MLB23110203?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB23110203&position=1&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=DEAL_OF_THE_DAY
"Notebook Samsung Book Celeron Cinza 4gb 256gb Ssd 15,6'' W11 Cor Cinza/Chumbo",1.599,3.331,https://www.mercadolivre.com.br/notebook-samsung-book-celeron-cinza-4gb-256gb-ssd-156-w11-cor-cinzachumbo/p/MLB19692109?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19692109&position=2&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=DEAL_OF_THE_DAY
Caixa De Som Boombox 3 Bluetooth Preta Jbl Bivolt Cor Preto 110V/220V,2.067,2.999,https://www.mercadolivre.com.br/caixa-de-som-boombox-3-bluetooth-preta-jbl-bivolt-cor-preto-110v220v/p/MLB19693584?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19693584&position=3&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=DEAL_OF_THE_DAY
Tv Smart Philco Led 32  Android Tv  Ptv32m8gagcmblh,979,1.099,https://produto.mercadolivre.com.br/MLB-3483377135-tv-smart-philco-led-32-android-tv-ptv32m8gagcmblh-_JM?hide_psmb=true#position=43&search_layout=grid&type=item&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=DEAL_OF_THE_DAY
Máquina de Lavar Brastemp 12Kg com Ciclo Antibolinha e Ciclo Edredom Ciclo Tira Manchas Advanced BWK12AB 110V,2.299,2.799,https://www.mercadolivre.com.br/maquina-de-lavar-brastemp-12kg-com-ciclo-antibolinha-e-ciclo-edredom-ciclo-tira-manchas-advanced-bwk12ab-110v/p/MLB15220364?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15220364&position=4&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=TODAY_PROMOTION
Moto E13 64gb 4gb Ram Off white,589,1.099,https://www.mercadolivre.com.br/moto-e13-64gb-4gb-ram-off-white/p/MLB22412153?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB22412153&position=5&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=TODAY_PROMOTION
"Notebook Samsung Book I5 8gb 256gb Ssd 15,6'' Windows 11 Cinza-chumbo",2.599,4.999,https://www.mercadolivre.com.br/notebook-samsung-book-i5-8gb-256gb-ssd-156-windows-11-cinza-chumbo/p/MLB19692108?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19692108&position=6&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=DEAL_OF_THE_DAY
Creatina Monohidratada 500g - 100% Pura - Soldiers Nutrition,114,139,https://www.mercadolivre.com.br/creatina-monohidratada-500g-100-pura-soldiers-nutrition/p/MLB18725308?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18725308&position=7&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=TODAY_PROMOTION
Smart Tv 32 Hd Roku Tv 32s5135/78g Preta Aoc Bivolt,999,1.399,https://www.mercadolivre.com.br/smart-tv-32-hd-roku-tv-32s513578g-preta-aoc-bivolt/p/MLB22398656?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB22398656&position=8&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=TODAY_PROMOTION
Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,423,572,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=9&search_layout=grid&type=product&tracking_id=5c20261f-8d0e-4fdb-8c9b-b8672c07b6c7&deal_print_id=02d1b381-b952-4c40-8a21-04a3dfe950cb&promotion_type=TODAY_PROMOTION
